Year,Year Code,Country Name,Country Code,"Age at first marriage, male [SP.DYN.SMAM.MA]","Age at first marriage, female [SP.DYN.SMAM.FE]","Cause of death, by injury (% of total) [SH.DTH.INJR.ZS]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Labor force, total [SL.TLF.TOTL.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Net migration [SM.POP.NETM],"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]",Number of people who are undernourished [SN.ITK.DEFC],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Population, total [SP.POP.TOTL]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding) [SH.STA.ORCF.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],"Malnutrition prevalence, weight for age (% of children under 5) [SH.STA.MALN.ZS]",Maternal leave benefits (% of wages paid in covered period) [SH.MMR.WAGE.ZS],"Mortality caused by road traffic injury (per 100,000 people) [SH.STA.TRAF.P5]","Maternal mortality ratio (national estimate, per 100,000 live births) [SH.STA.MMRT.NE]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]","Mortality rate attributed to household and ambient air pollution (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to unintentional poisoning (per 100,000 population) [SH.STA.POIS.P5]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]","Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]","Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]",Number of infant deaths [SH.DTH.IMRT],Number of maternal deaths [SH.MMR.DTHS],Number of neonatal deaths [SH.DTH.NMRT],Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP1.TO],Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure [SH.UHC.NOP2.TO],Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure [SH.UHC.OOPC.25.TO],Number of under-five deaths [SH.DTH.MORT],"Nurses and midwives (per 1,000 people) [SH.MED.NUMW.P3]",Out-of-pocket expenditure per capita (current US$) [SH.XPD.OOPC.PC.CD],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Probability of dying at age 5-14 years (per 1,000 children age 5) [SH.DYN.0514]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Ratio of young literate females to males (% ages 15-24) [SE.ADT.1524.LT.FM.ZS],"School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, secondary (% net) [SE.SEC.NENR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]",Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Smoking prevalence, males (% of adults) [SH.PRV.SMOK.MA]","Smoking prevalence, females (% of adults) [SH.PRV.SMOK.FE]","Specialist surgical workforce (per 100,000 population) [SH.MED.SAOP.P5]",Tuberculosis treatment success rate (% of new cases) [SH.TBS.CURE.ZS],"Tuberculosis death rate (per 100,000 people) [SH.TBS.MORT]",Unmet need for contraception (% of married women ages 15-49) [SP.UWT.TFRT],Urban population growth (annual %) [SP.URB.GROW],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS],Wanted fertility rate (births per woman) [SP.DYN.WFRT]
2010,YR2010,Aruba,ABW,31.2,28.5,..,..,7.918,10.2,..,..,..,..,..,77.425,72.517,75.017,96.82264,..,..,..,..,..,101669,..,..,..,56.941,43.059,..,11.214,..,..,1.768,..,..,..,..,..,..,..,..,..,..,..,..,123.598,76.722,..,..,..,..,..,..,..,..,..,..,..,97.30565388,97.67293593,..,..,20.87361929,68.83809224,10.28828847,..,..,..,..,..,6.92927,1.00361,98.91975,..,37.34573,1.05,..,..,..,..,0.56,..,-0.62620464,0.848278616,..,..
2010,YR2010,Australia,AUS,..,..,5.7,3.9,6.5,5.7,..,..,94,92,11702473,84,79.5,81.69512195,..,4,..,..,..,3.3429,22031750,12.5,12.5,5.210999966,14.818,85.182,8.4308438,13.7,..,16.26325101,1.928,92,92,92,6.2139697,..,..,..,..,10,..,0.2,..,78.634,45.704,3.6,4.4,1198,16,823,..,..,..,1420,10.4017,978.1374512,99.88461979,99.99115238,..,..,19.03233624,67.59110796,13.37655581,0.1,61.7,..,2.5,1,5.55006,..,96.98847,..,..,1.057,19.7,16,..,82,0.25,..,1.695285378,0.755635553,..,..
2010,YR2010,Austria,AUT,..,..,5.4,2.4,9.2,8.9,..,..,80,86,4276558,83.5,77.8,80.5804878,..,3.6,..,..,..,4.8016,8363404,16,12,4.820000172,42.601,57.399,10.22101864,9.4,..,14.00380135,1.44,86,86,86,7.0142307,..,..,..,..,12.2,..,0.3,..,100.315,48.689,3.2,3.9,279,4,196,..,..,..,337,6.7211,892.1551514,100,99.98583303,98.54303371,..,14.71666475,67.48495145,17.7983838,..,51.8,..,2.5,1,5.70048,..,87.36683,86.79411,75.62378,1.055,38.3,33.3,..,75,0.46,..,-0.253173146,0.90928454,..,..
2010,YR2010,Azerbaijan,AZE,..,..,4.7,10.9,5.9,7.5,..,98,89,81,4454609,74.123,67.772,70.938,99.77114,32.8,..,..,..,3.6629,9054332,3.1,2.9,5.630000114,46.594,53.406,4.767755046,18.3,..,3.162823617,1.92,80,..,85,7.1249089,..,..,..,..,24.8,..,0.8,..,182.472,89.375,29.6,35.7,5245,51,3340,..,..,..,5954,7.3513,216.1369324,86.60600148,82.54633255,68.70055352,..,22.83533801,71.26638023,5.898281764,..,49.6,..,2.5,3.3,2.78062,0.99966,84.44645,..,19.26004,1.161,46.8,0.4,..,73,8.9,..,1.595056682,0.727279912,89,..
2010,YR2010,"Bahamas, The",BHS,30.6,27.9,10.2,16.8,6.566,10.4,..,..,94,99,193542,74.614,69.619,72.144,..,10.5,..,..,..,..,354942,2,4.2,14.83600044,17.573,82.427,5.924252421,15.045,..,17.26662666,1.865,98,98,97,13.259292,..,..,..,..,16.9,..,0.2,..,209.197,126.411,9.7,11.3,56,4,40,..,..,..,68,..,471.1333923,98.67313887,92.83827663,..,..,26.88382891,67.00249618,6.11367491,2.2,61.3,..,..,2.9,..,..,80.42244,79.75847,..,1.057,18.8,3.6,..,69,0.58,..,1.566372414,1.276266345,..,..
2010,YR2010,Bahrain,BHR,..,26.9,10.9,7.2,2.327,15.4,..,..,99,99,714127,77.087,75.268,76.057,90.9774,7.3,..,..,..,0.9493,1240860,5.2,1.9,1.129999995,11.366,88.634,3.84291485,16.547,..,8.476413041,2.164,99,99,99,9.4893017,..,..,..,..,13.8,..,0.2,..,79.231,63.193,7.1,7.5,143,4,62,..,..,..,165,2.4595,226.6355286,99.99887851,99.98960002,98.98215204,..,20.31155811,77.60867463,2.079767258,..,62.4,..,..,2.3,..,0.99415,..,86.11679,..,1.036,34.8,6.7,..,96,0.79,..,4.661908401,4.116593749,..,..
2010,YR2010,Bangladesh,BGD,..,..,7.9,33.9,5.734,6.6,..,98,88,94,57127914,71.257,68.694,69.881,..,38.9,..,..,25700000,0.3635,147575430,6.4,0.2,3.378999949,69.538,30.462,2.49591507,21.107,..,4.439389706,2.324,94,94,94,29.974333,..,..,..,220,22.2,..,0.5,..,159.417,123.372,36.2,41.4,121124,8100,85434,..,..,..,154083,0.183,13.56128502,96.45986836,39.20461301,55.74815821,39.28098,31.98694051,63.24123467,4.771824822,0.1,16.4,..,16.9,9.5,..,..,90.53203,47.65124,..,1.049,48.4,1.9,..,91,53,..,3.627799773,0.047763813,0,..
2010,YR2010,Barbados,BRB,..,..,4.7,12.5,8.368,8,..,..,85,86,152537,79.816,76.811,78.364,..,13.5,..,..,100000,1.811,282131,2.1,8.1,10.68999958,68.13,31.87,6.773986667,11.748,..,10.3744626,1.687,86,86,90,..,..,..,..,..,18,..,0.2,..,132.75,80.64,12.2,14.7,45,1,32,..,..,..,49,4.856,417.9761658,98.42443765,93.85477858,..,88.46935,19.74295629,67.00610709,13.25093662,1.3,48.6,..,5,2.2,6.03487,..,94.95407,85.18712,69.80744,1.036,14.2,2.3,..,100,0.48,..,-0.238829295,0.648244656,..,..
2010,YR2010,Belarus,BLR,..,..,8.5,2.4,14.5,7.6,..,99,99,98,5090380,76.5,64.6,70.40487805,..,4.2,..,..,..,3.2498,9490583,38.2,17.5,6.125999928,25.328,74.672,5.656940117,11.4,..,8.685326576,1.494,96,0,99,5.0070767,..,..,..,1,31,..,3.5,..,334.194,112.143,3.7,4.7,453,6,203,..,..,..,588,10.6145,99.67877197,97.53931398,95.41097957,90.05456367,..,14.89571655,71.14013435,13.96414911,0.2,56.8,..,2.5,2,5.09167,..,91.05012,94.90999,79.57814,1.064,51.9,11.4,..,78,9.6,..,0.501480521,-2.125211334,..,..
2010,YR2010,Belgium,BEL,..,..,6.3,7.2,9.7,5.3,..,..,95,98,4887403,83,77.5,80.18292683,..,3.6,..,..,..,2.9085,10895586,21.3,11.4,8.291999817,2.349,97.651,9.974732995,11.9,..,14.53510374,1.86,97,98,98,6.8638158,..,..,..,..,12.8,..,0.3,..,102.029,59.259,3.2,4,457,8,298,..,..,..,562,10.0931,808.602356,99.99999721,99.48607128,99.52318289,..,16.88274124,65.7832315,17.33402726,..,57.8,..,2.5,1,6.40799,..,97.25467,92.69016,67.82901,1.05,35.5,26.9,..,78,0.55,..,0.962809677,-1.10933298,..,..
2010,YR2010,Belize,BLZ,30.1,28.6,14,17.2,4.597,9.8,..,98,98,96,131444,74.744,69.594,72.057,..,16.2,..,..,100000,0.828,322464,4.9,7,8.479999542,54.772,45.228,5.764430389,23.402,..,13.10773343,2.69,96,96,96,8.6984806,..,..,..,55.3,23.2,..,0.6,..,226.13,137.038,14.6,17.7,122,4,70,..,..,..,142,1.959,59.84473038,93.93747931,85.62770727,..,79.39233,35.61265754,60.30843753,4.078904932,1.9,51.2,..,5.6,3.6,6.62963,..,95.41596,63.64555,21.86788,1.03,..,..,..,0,4.7,..,2.413635089,2.482723268,..,..
2010,YR2010,Benin,BEN,..,..,9.5,58.5,10.094,4.6,..,90,68,76,3670008,60.717,57.869,59.318,..,70.8,..,..,1100000,0.0558,9199259,9.6,2.4,1.039999962,56.907,43.093,4.089805111,39.278,..,5.146621913,5.362,76,76,77,17.308092,..,..,..,..,19.8,..,3.6,..,278.869,231.638,64.5,76.8,25072,1700,12552,..,..,..,38741,0.452,13.96442604,64.6923678,13.38759594,..,6.83164,43.84600977,52.92409965,3.229890581,1.1,26.1,..,11.8,26.7,5.02932,..,94.92278,..,13.77512,1.041,13.6,1,..,90,11,..,4.003676921,1.908655055,99,..
2010,YR2010,Bermuda,BMU,31.5,30.6,..,..,7.3,10.2,..,..,..,..,..,82.08,76.63,79.28853659,..,..,..,..,..,..,65124,..,..,..,0,100,..,11.8,..,..,1.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.91830717,99.91830717,..,..,..,..,..,..,..,..,..,..,2.5852,..,..,58.19615,30.74873,..,..,..,..,0,0.14,..,-0.783118104,..,..,..
2010,YR2010,Bhutan,BTN,..,21.4,11.1,26,6.414,3.6,48.7,96,95,91,322183,68.593,68.157,68.384,..,34.2,..,..,..,0.023,685503,11.1,1.2,3.319999933,65.207,34.793,3.473576158,19.397,61.6,5.598505586,2.301,91,..,92,12.173632,12.7,..,..,150,25.1,..,0.7,..,223.534,231.151,31.2,37.1,457,33,301,..,..,..,573,0.241,11.50494957,92.69353681,61.89506462,33.62212585,79.4288,31.17258422,63.68666512,5.14075066,0.3,22.7,7.6,..,10,4.02447,..,86.28016,50.06988,7.24678,1.04,..,..,..,91,25,11.7,3.328916413,-0.140618229,..,..
2010,YR2010,Bolivia,BOL,..,..,12.3,27,7.448,6,..,98,88,91,4740398,70.518,65.619,68.007,..,32.6,..,..,2600000,0.4385,10048590,14.1,5.9,2.552000046,33.57,66.43,5.473027378,25.008,..,9.705902636,3.213,91,91,90,7.4277678,..,..,..,..,18.8,..,2.8,..,232.066,169.011,29.3,35.7,8161,530,5369,..,..,..,10303,0.8326,34.297966,87.91364505,47.79968692,..,..,34.48951544,59.39331787,6.117166687,0.4,52.4,..,26.5,6,..,..,90.89746,72.78318,..,1.05,..,..,..,85,15,..,2.317243126,0.323796451,24,..
2010,YR2010,Bosnia and Herzegovina,BIH,..,..,4.2,2.1,9.747,7.1,..,96,91,89,1434341,78.484,73.479,76.031,..,6.2,..,..,..,1.7987,3705472,8,7.3,27.31200027,54.442,45.558,9.018882364,9.256,..,12.40111589,1.315,89,83,90,3.4368043,..,..,..,..,20.9,..,0.7,..,136.382,69.581,5.6,6.8,213,4,171,..,..,..,245,5.4867,125.0806656,96.66949485,95.21848561,88.53673304,96.95269,15.7370505,70.30332438,13.95962512,0.1,50.2,..,2.5,1.3,..,..,..,..,..,1.058,51.5,32.1,..,98,5.1,..,-0.116155171,-1.403065469,..,..
2010,YR2010,Botswana,BWA,..,..,8.2,55.8,9.146,5.4,..,98,96,95,776304,62.59,57.802,60.211,..,38.4,..,..,600000,0.4122,1987105,11.1,8.6,17.86000061,37.588,62.412,6.194024906,27.934,..,8.060934395,3.022,95,..,96,16.010958,..,..,..,160,22.2,..,1.4,..,423.03,300.88,34.8,42,2092,99,1657,..,..,..,2697,2.9269,19.62870598,83.04816902,66.83740536,..,..,34.96840882,61.71475589,3.316835296,23.2,40.4,..,28.5,7.9,..,..,..,..,20.84838,1.031,33,6.5,..,78,28,..,4.097430109,-2.143381957,81,..
